Year,Month,Rainfall_mm,River_Water_Level_m,Temperature_C,Flood_Occurrence
2004,January,102,9.76,14.59,0
2004,February,71,7.59,13.9,0
2004,March,466,2.1,21.48,0
2004,April,372,7.61,27.7,0
2004,May,661,1.62,28.05,1
2004,June,413,3.34,14.55,0
2004,July,276,7.79,25.29,0
2004,August,252,5.75,17.28,0
2004,September,58,5.4,11.17,0
2004,October,699,5.03,21.4,1
2004,November,686,7.8,19.56,1
2004,December,243,7.52,11.16,0
2005,January,646,2.88,11.63,1
2005,February,387,11.36,24.08,1
2005,March,345,2.07,27.11,0
2005,April,366,8.52,25.25,0
2005,May,34,11,16.47,1
2005,June,387,4.43,23,0
2005,July,105,7.24,10.78,0
2005,August,401,9.53,33.49,0
2005,September,269,9,18.16,0
2005,October,461,3.16,11.13,0
2005,November,295,10.29,28.68,1
2005,December,52,7.45,34.13,0
2006,January,187,6.97,13.52,0
2006,February,14,2.82,10.39,0
2006,March,520,9.49,14.97,1
2006,April,471,1.15,14.97,0
2006,May,391,9.02,29.28,0
2006,June,489,4.94,12.9,0
2006,July,134,10.35,21.24,1
2006,August,32,1.7,17.77,0
2006,September,98,7.5,16.87,0
2006,October,546,6.19,12.99,1
2006,November,461,10.34,28.04,1
2006,December,502,9.48,22.34,1
2007,January,392,8.82,12.77,0
2007,February,460,3.22,32.39,0
2007,March,240,4.46,22.71,0
2007,April,484,3.74,20.26,0
2007,May,170,3.23,33.57,0
2007,June,698,8.64,32.01,1
2007,July,681,9.89,25.84,1
2007,August,645,6.02,15.46,1
2007,September,339,10.82,23.48,1
2007,October,505,2.34,18.91,1
2007,November,189,2.21,15.7,0
2007,December,632,10,31.52,1
2008,January,358,2.81,23.35,0
2008,February,317,3.44,13,0
2008,March,683,3.69,14.21,1
2008,April,671,6.71,27.58,1
2008,May,112,1.71,16.35,0
2008,June,267,3.77,22.43,0
2008,July,112,2.63,34.94,0
2008,August,698,7.71,22.57,1
2008,September,565,1.36,18.63,1
2008,October,384,3.64,13.62,0
2008,November,683,5.93,23.82,1
2008,December,246,8.39,29.04,0
2009,January,122,3.66,30.08,0
2009,February,609,7.97,23.39,1
2009,March,143,10.19,18.02,1
2009,April,325,8.65,31.46,0
2009,May,402,8.82,30.24,0
2009,June,147,8.1,14.36,0
2009,July,639,6.7,30.94,1
2009,August,472,3.3,23.54,0
2009,September,297,3.84,26.5,0
2009,October,345,11.8,22.92,1
2009,November,1,11.96,34.14,1
2009,December,452,10.9,25.83,1
2010,January,8,4.07,27.51,0
2010,February,207,10.87,32.18,1
2010,March,119,10.77,31.27,1
2010,April,624,2.78,32.46,1
2010,May,253,1.1,12.54,0
2010,June,98,11.71,17.1,1
2010,July,337,6.34,21.21,0
2010,August,680,2.94,10.45,1
2010,September,397,4.58,28.66,0
2010,October,391,10.34,26.44,1
2010,November,32,6.97,22.72,0
2010,December,469,3.92,16.1,0
2011,January,37,11.77,22.17,1
2011,February,282,5.78,18.75,0
2011,March,608,7.35,22.31,1
2011,April,452,3.53,22.48,0
2011,May,515,1.27,26.14,1
2011,June,16,11.94,21.75,1
2011,July,45,11.06,19.25,1
2011,August,36,11.21,20.7,1
2011,September,180,7.3,34.51,0
